club_name,city,state,website,contact_email,facebook,instagram,strava,member_count,membership_fee_usd,usat_member,profile_url,score,notes
Alachua County High School Triathlon Club,Gainesville,Florida,http://acytc.com/,alachuacountyyouthtriclub@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,10,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7851,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: High School/Collegiate | Contact: Andrea Gardner"
All In Multisport,Sherwood,Arkansas,http://www.allinmultisport.com,allinmultisport@hotmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,25,Yes,https://www.trifind.com/Clubs/ClubDetails?id=694,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course | Contact: Bruce Wood"
Atomic Betty,Bloomington,Indiana,https://atomicbetty.club/,atomicbettyclub@yahoo.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,55,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6783,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, Long Course, Off-Road, Short Course, Women Specific | Contact: KIMBERLY MEYER"
Austin Triathlon Club,Austin,Texas,https://www.austintriclub.org,stewtigi@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,40,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5343,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Stewart (Chris) Mickler"
Brooklyn Triathlon Club,Brooklyn,New York,http://www.brooklyntri.org,info@brooklyntri.org,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,125,Yes,https://www.trifind.com/Clubs/ClubDetails?id=347,10,"Disciplines: Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Nathan Gray"
Frisco Triathlon Club.,Frisco,Texas,https://friscotriclub.com/,admin@friscotriclub.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,40,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7240,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course, Women Specific | Contact: James Morris"
HEAT - Hartford Extended Area Triathletes,Avon,Connecticut,http://www.ctheat.org,membership@ctheat.org,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,45,Yes,https://www.trifind.com/Clubs/ClubDetails?id=115,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, Long Course, Off-Road, Short Course | Contact: VIN DARCY"
Infinite Multisport Triathlon Club,STERLING HEIGHTS,Michigan,http://www.infinitemultisport.com,psleonard@infinitemultisport.com,https://facebook.com/2008,https://instagram.com/infinitemultisport,,,40,Yes,https://www.trifind.com/Clubs/ClubDetails?id=295,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course, Women Specific | Contact: Paul Leonard"
Inlet Tri Club,Jupiter,Florida,https://www.inlettriclub.com,hello@inlettriclub.com,https://facebook.com/2008,https://instagram.com/inlettriclub,,,99,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7399,10,"Disciplines: Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Nicholas Kukla"
MiTY (MidTN High School),Smyrna,Tennessee,http://www.MidTNMultisport.club,John@TurnerVictory.com,https://facebook.com/groups,https://www.instagram.com/usatriathlon/,,,10,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8110,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: BRANDON HENTHORN"
MiTY (MidTNYouth),Smyrna,Tennessee,http://www.MidTNMultisport.club,John@TurnerVictory.com,https://facebook.com/groups,https://www.instagram.com/usatriathlon/,,,10,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8109,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Short Course, Youth and Junior | Contact: BRANDON HENTHORN"
Multisport Performance,Fayetteville,Georgia,http://multisportperformance.com,kim.bramblett@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,75,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6657,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course, Women Specific, Youth and Junior | Contact: Kimberly Bramblett"
No Limits Endurance Coaching,Conifer,Colorado,https://www.nolimitsendurance.com/,Maria@nolimitsendurance.com,https://facebook.com/nolimitsendurance,https://instagram.com/nolimitsendurancecoaching,,,150,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6808,10,"Disciplines: Aquabike, Duathlon, Non-Traditional Event, Off Road, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course, Women Specific | Contact: Maria Simone"
NorthEast MultiSport,Brookline,New Hampshire,http://www.NorthEastMultiSport.com,info@northeastmultisport.com,https://facebook.com/groups,https://instagram.com/northeastmultisport,,,15,Yes,https://www.trifind.com/Clubs/ClubDetails?id=734,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course | Contact: Colin Cook"
SoCal Triathlon Team Inc.,Irvine,California,https://www.socaltriathlonteam.com/,socal.triathlon.team@gmail.com,https://facebook.com/2008,https://instagram.com/squarespace,,,120,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7932,10,"Disciplines: Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Mitch Atkinson"
TCMTriSquad,SCOTTS VALLEY,California,https://www.tricoachmartin.com,tricoachmartin@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,125,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6817,10,"Disciplines: Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, High School/Collegiate, Long Course, Off-Road, Short Course, Women Specific, Youth and Junior | Contact: Martin Spierings"
TCMTriSquad High School Team,SCOTTS VALLEY,California,https://www.tricoachmartin.com/youth-team,tricoachmartin@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,125,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7279,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Martin Spierings"
TCMTriSquad Youth and Junior,SCOTTS VALLEY,California,https://www.tricoachmartin.com,tricoachmartin@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,125,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7217,10,"Disciplines: Triathlon | Specialties: High School/Collegiate, Youth and Junior | Contact: Martin Spierings"
Team Rocket Tri Club,Huntsville,Alabama,http://www.teamrockettri.org/,trtcpresident@gmail.com,https://facebook.com/teamrockettrihsv,https://www.instagram.com/usatriathlon/,,,5,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5984,10,"Disciplines: Aquabike, Duathlon, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Off-Road, Short Course, Youth and Junior | Contact: Ruth Marie Oliver"
TriLife NYC,New Paltz,New York,http://www.trilife.org,tricoach@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,10,40,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5179,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon | Specialties: Long Course, Short Course | Contact: Scott Willett"
Wolfpack Pentathlon Club - HS Program,Santa Clara,California,https://www.wolfpackpentathlon.com,president@wolfpackpentathlon.com,https://facebook.com/wolfpackpentathlon,https://www.instagram.com/usatriathlon/,,,10,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8038,10,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Kirt Iverson"
Working Triathlete,Westlake,Ohio,https://www.workingtriathlete.com/,Derek@workingtriathlete.com,https://facebook.com/2008,https://instagram.com/working.triathlete,,,49,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6933,10,"Disciplines: Duathlon, Triathlon | Specialties: Long Course, Short Course | Contact: Derek Stone"
Auburn Triathletes (Auburn University),Auburn,Alabama,http://www.auburn.edu/triathletes/,triathl@auburn.edu,https://facebook.com/AuburnTriathletes,https://instagram.com/auburn_triathletes,https://strava.com/clubs/245098,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7313,8,"Disciplines: Triathlon | Specialties: Beginners, High School/Collegiate, Long Course, Short Course | Contact: Bennett Brown"
Fortius Racing Team,Sherman Oaks,California,https://fortiuscoaching.com,gerardo@fortiuscoaching.com,https://facebook.com/2008,https://www.instagram.com/usatriathlon/,https://strava.com/clubs/fortiusracing,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5889,8,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon | Specialties: Beginners, High School/Collegiate, Long Course, NCAA, Off-Road, Short Course, Youth and Junior | Contact: Gerardo Barrios Garcia"
Hutchinson Island Triathlon Club,Stuart,Florida,https://www.hutchinsonislandtriathlonclub.com/,Hutchinson.Island.TRI.Club@gmail.com,https://facebook.com/2008,https://instagram.com/squarespace,https://strava.com/clubs/Hutchinson-Island-TRI-Club,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7559,8,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course | Contact: Jonathan Garich"
Quinebaug Valley Velo Multi Sport,Putnam,Connecticut,http://www.qvmultisport.com,pj.humphreys@outlook.com,https://facebook.com/groups,https://www.instagram.com/usatriathlon/,https://strava.com/clubs/qv-multisport-2103,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7798,8,"Disciplines: Non-Traditional Event, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena | Contact: Paul Humphreys"
Reunion Racing,Dallas,Texas,https://reunionracing.org/,info@reunionracing.org,https://facebook.com/Réunion-Racing-107501841298006,https://instagram.com/reunionracing,https://strava.com/clubs/823327,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8120,8,"Disciplines: Duathlon, Triathlon | Specialties: Beginners, Draft Legal, Long Course, Short Course | Contact: Clyde E Stafford Jr"
Santa Clara University Triathlon Club,Santa Clara,California,https://www.scu.edu/recreation/clubsports/current/triathlon/,jashimada19@gmail.com,https://www.facebook.com/USATriathlon/;,https://instagram.com/scutriathlon,https://strava.com/clubs/706864,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5923,8,Disciplines: Triathlon | Contact: Jared Shimada
Sonic Endurance,Lansdale,Pennsylvania,https://runsignup.com/Club/PA/Lansdale/SonicEndurance,stacey@sonicendurance.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,31,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6399,8,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course, Women Specific, Youth and Junior | Contact: Stacey Miller"
Tri-State Terrapins,Dickeyville,Wisconsin,https://runsignup.com/Club/WI/Dickeyville/TriStateTerrapins,tristatetri@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,31,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7398,8,Disciplines: Triathlon | Specialties: High School/Collegiate | Contact: Olivia Dietzel
#miniSLAP Tri Team,CLERMONT,Florida,http://slaptriteam.com/,sara@swim-like-a-pro.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7125,7,Disciplines: Triathlon | Specialties: Youth and Junior | Contact: Sara Mclarty
1 Ton Racing,Reed City,Michigan,https://www.triathlonlearning.com/,william.saley23@yahoo.com,https://www.facebook.com/profile.php?id=61578614260056;,,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8105,7,Disciplines: Triathlon | Specialties: Beginners | Contact: William Saley
3 Goals Multisport Community,Topsail Beach,North Carolina,https://www.triathlonlearning.com/,ebyrge@gmail.com,https://www.facebook.com/groups/3gmultisportcommunity;,,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8098,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course, Women Specific | Contact: Erin Byrge"
606 Multisport,Tampa,Florida,http://606multisport.com/,mgambacorta23@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7102,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Triathlon, Winter Triathlon | Specialties: Beginners, High School/Collegiate, Long Course, NCAA, Short Course | Contact: Mark Gambacorta"
Allways Tri Club,Redington Beach,Florida,https://www.allwaystri.com/,Allwaystri@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6866,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, High School/Collegiate, Long Course, Short Course, Youth and Junior | Contact: Martin Wagner"
AME,Somers Point,Florida,https://www.amendurance.com/,ashley@amendurance.com,https://facebook.com/ashleymorrisendurance,https://instagram.com/ame_coach,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6940,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course, Women Specific | Contact: Ashley Morris"
Ames Triathlon Club (Triclones),Ames,Iowa,https://clubs.recservices.iastate.edu/triathlon/,iowastatetriathlonclub@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7411,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, Short Course | Contact: Luke David Post"
AP Racing,Colorado Springs,Colorado,https://www.andypottsracing.com/apracingteam,andy@andypottsracing.com,https://facebook.com/2008,https://instagram.com/andy_potts,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5686,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, Long Course, NCAA, Off-Road, Paratriathlon, Short Course, Women Specific, Youth and Junior | Contact: Andrew Potts"
Aqua Tri Goddess Tribe,Memphis,Tennessee,https://www.triathlonlearning.com/,gmmd0@icloud.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7880,7,"Disciplines: Aquabike, Triathlon | Specialties: Long Course, Short Course, Women Specific | Contact: GAYLE MINARD"
AquaTerra Coaching,Northport,New York,https://www.aquaterracoaching.com,coachbrian@aquaterracoaching.com,https://facebook.com/2008,https://instagram.com/aquaterracoach.com,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7812,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Paratriathlon, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Paratriathlon, Short Course | Contact: Brian Fallon"
Arizona Heat Elite,Scottsdale,Arizona,http://www.azheatelite.com,coachdavidwinton@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8075,7,"Disciplines: Triathlon | Specialties: Draft Legal, Youth and Junior | Contact: David Winton"
Aspire Endurance Coaching,Washington,District of Columbia,https://www.aspireendurancecoaching.com/,joanne@aspireendurancecoaching,https://facebook.com/2008,https://instagram.com/aspire_endurance_coaching,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7903,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Joanne Gribler"
ATLANTA TRI SISTERS,ATLANTA,Georgia,http://atlantatrisisters.org,atlantatrisisters@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6822,7,"Disciplines: Aquabike, Duathlon, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course | Contact: Debra Carlton"
Atlanta Triathlon Club,Atlanta,Georgia,https://www.atlantatriathlonclub.com/,info@atlantatriclub.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=161,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Paratriathlon, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Paratriathlon, Short Course, Women Specific | Contact: Tim Myers"
Augustana Triathlon Team,Rock Island,Illinois,https://www.triathlonlearning.com/,augustanatriathlon@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8085,7,Disciplines: Triathlon | Contact: Aymen Jadda
BAM,Homewood,Alabama,https://www.triathlonlearning.com/,coachburney@yahoo.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7620,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: High School/Collegiate, Youth and Junior | Contact: Meredith Burney"
BAM HS Program,Homewood,Alabama,https://www.triathlonlearning.com/,coachburney@yahoo.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8017,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: High School/Collegiate | Contact: Meredith Burney"
Barn Racing Team,Oconomowoc,Wisconsin,http://www.barnracingteam.com,barnracingteam2022@gmail.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7186,7,"Disciplines: Duathlon, Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Jack Hoffman"
Barracuda High School Tri,Tuckahoe,New York,https://barracudatri.com,jboyer@barracudatri.com,https://www.facebook.com/USATriathlon/;,https://instagram.com/barracudatri,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7230,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Jeff Boyer"
Barracuda Tri,Tuckahoe,New York,https://barracudatri.com,jboyer@barracudatri.com,https://www.facebook.com/USATriathlon/;,https://instagram.com/barracudatri,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5603,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, High School/Collegiate, Long Course, Short Course, Women Specific, Youth and Junior | Contact: Jeff Boyer"
Barracuda Youth Tri,Tuckahoe,New York,https://barracudatri.com,jboyer@barracudatri.com,https://www.facebook.com/USATriathlon/;,https://instagram.com/barracudatri,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8137,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Youth and Junior | Contact: Jeff Boyer"
Barrington Eagles TC,Barrington,Rhode Island,https://www.triathlonlearning.com/,m2tracy@verizon.net,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7670,7,Disciplines: Triathlon | Specialties: High School/Collegiate | Contact: Mark Tracy
Baylor Triathlon Club (Baylor University),Waco,Texas,https://www.baylor.edu/campusrec/index.php?id=928534,kaden_huff1@baylor.edu,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=5606,7,"Disciplines: Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Kaden Huff"
Be Fierce & Tri,Downingtown,Pennsylvania,https://www.befiercemultisport.com/triclub,befiercetriclub@befiercemultisport.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=8181,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Paratriathlon, Short Course, Women Specific | Contact: Jill Bartholomew"
BEAT Academy JV,Brentwood,Tennessee,http://www.tribeat.org,President@tribeat.org,https://facebook.com/beattriathlonclub,https://instagram.com/beattriathlonclub,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7787,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Paratriathlon, Youth and Junior | Contact: Leandro Christiano Silva"
BEAT Academy Varsity,Brentwood,Tennessee,http://www.tribeat.org,president@tribeat.org,https://facebook.com/beattriathlonclub,https://instagram.com/beattriathlonclub,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7786,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Leandro Christiano Silva"
Bergen County Multisport High School Triathlon Team (Team BCM),Paramus,New Jersey,http://www.bcmtri.com,info@bcmtri.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7287,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Andres Herrera"
Bergen County Multisport Triathlon Team (Team BCM),Paramus,New Jersey,http://www.bcmtri.com,info@bcmtri.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6043,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Draft Legal, Long Course, Short Course, Youth and Junior | Contact: Andres Herrera"
Big City Tri HS Team,Brooklyn,New York,http://www.bigcitytri.com,bktricoach@gmail.com,https://facebook.com/2008,https://instagram.com/bigcitytri,,,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7601,7,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: John Stewart"
