product_name,brand,category,servings_per_pkg,carbs_g,sodium_mg,caffeine_mg,price_usd,price_per_serving,url
SiS GO Electrolyte Drink Mix - Orange / 40 Servings,Science in Sport,drink_mix,40,36,300,0,49.99,1.25,https://thefeed.com/products/science-in-sport-go-electrolyte?variant=39395024797759
SiS Beta Fuel Energy Chews - Lemon / Single Serving,Science in Sport,chew,1,45.0,,,3.83,3.83,https://thefeed.com/products/science-in-sport-beta-fuel-chews?variant=39438036140095
UCAN Hydrate Drink Mix - Pineapple / 30 Servings,UCAN,drink_mix,12,0,300,0,26.95,2.246,https://thefeed.com/products/ucan-hydrate-drink-mix?variant=39789209223231
UCAN Edge Energy Gel - Pineapple / Single Serving,UCAN,gel,1,19.0,,75.0,3.5,3.5,https://thefeed.com/products/ucan-edge?variant=39789356613695
Precision Fuel Carb & Electrolyte Drink Mix - 1 Bag,Precision Fuel and Hydration,drink_mix,15,30.0,500.0,,31.99,2.133,https://thefeed.com/products/precision-fuel-carb-electrolyte-drink-mix?variant=39938327281727
Precision Fuel and Hydration PF 30 Gel - Single Serving,Precision Fuel and Hydration,gel,1,30.0,,,3.12,3.12,https://thefeed.com/products/precision-fuel-and-hydration-pf30-gel?variant=39938329083967
Precision Fuel and Hydration PF 30 Caffeinated Gel - Single Serving,Precision Fuel and Hydration,gel,1,30.0,,100.0,4.16,4.16,https://thefeed.com/products/precision-fuel-and-hydration-pf30-caffeinated-gel?variant=39938331705407
Precision Fuel and Hydration PF 90 Gel - Single Serving,Precision Fuel and Hydration,gel,3,90.0,,,6.66,2.22,https://thefeed.com/products/precision-fuel-and-hydration-pf90-gel?variant=39938333769791
Precision Fuel and Hydration Tablets PH 1500 - 10 Serving Tube,Precision Fuel and Hydration,drink_mix,10,0,1500,0,11.99,1.199,https://thefeed.com/products/precision-fuel-and-hydration-tablets?variant=39938336751679
Precision Fuel and Hydration Tablets PH 1000 - 10 Serving Tube,Precision Fuel and Hydration,drink_mix,10,3.0,500.0,,11.99,1.199,https://thefeed.com/products/precision-fuel-and-hydration-tablets-ph-1000?variant=39938338324543
Precision Fuel and Hydration Tablets PH 500 - 15 Serving Tube,Precision Fuel and Hydration,drink_mix,15,3.0,250.0,,11.99,0.799,https://thefeed.com/products/precision-fuel-and-hydration-tablets-ph-500?variant=39938338652223
Precision Fuel and Hydration Powder PH 1000 - Single Serving,Precision Fuel and Hydration,drink_mix,1,0.0,500.0,,1.9,1.9,https://thefeed.com/products/precision-fuel-and-hydration-powder-ph-1000?variant=39938339995711
Precision Fuel and Hydration Powder PH 1500 - Single Serving,Precision Fuel and Hydration,drink_mix,8,0,1500,0,1.9,0.237,https://thefeed.com/products/precision-fuel-and-hydration-powder-ph-1500?variant=39938340159551
Precision Fuel and Hydration Powder PH 500 - Single Serving,Precision Fuel and Hydration,drink_mix,1,0.0,250.0,,1.9,1.9,https://thefeed.com/products/precision-fuel-and-hydration-powder-ph-500?variant=39938340356159
Precision Fuel and Hydration PF 30 Chew - Original / Single Serving,Precision Fuel and Hydration,chew,1,30.0,,,2.87,2.87,https://thefeed.com/products/precision-fuel-and-hydration-pf30-chew?variant=39938465824831
SiS GO Energy + Caffeine Gels - Berry / Single Serving,Science in Sport,gel,6,22,90,75,2.83,0.472,https://thefeed.com/products/sis-go-energy-caffeine-gels?variant=39990579953727
SiS Beta Fuel + Nootropics Gel - Apple / Single Serving,Science in Sport,gel,1,40.0,,200.0,4.17,4.17,https://thefeed.com/products/sis-beta-fuel-nootropics-gel?variant=39990587064383
GU Energy Chews - Strawberry (with 20mg Caffeine per serving) / Single Packet,GU Energy,chew,12,22,40,1.0,2.75,0.229,https://thefeed.com/products/gu-energy-chews-bags?variant=40006882656319
SiS Protein Bar - Milk Chocolate and Peanut / Single Serving,Science in Sport,bar,1,12.0,,,2.75,2.75,https://thefeed.com/products/sis-protein-bar?variant=40117449588799
Näak Ultra Energy Bars - Peanut Butter and Chocolate / Single Serving,Näak,bar,1,28.0,,,3.75,3.75,https://thefeed.com/products/naak-ultra-energy-bars?variant=40157800202303
Näak Ultra Energy Caffeine Bars - Caramel Macchiato / Single Serving,Näak,bar,1,28.0,,65.0,3.75,3.75,https://thefeed.com/products/naak-ultra-energy-caffeine-bars?variant=40157804036159
Näak Ultra Energy Waffles - Salted Caramel / Single Serving,Näak,waffle,1,16.0,,,2.25,2.25,https://thefeed.com/products/naak-ultra-energy-waffles?variant=40157807444031
Näak Ultra Energy Drink Mix - Lime / Single Serving,Näak,drink_mix,1,55.0,,,4.0,4.0,https://thefeed.com/products/naak-ultra-energy-drink-mix?variant=40157810131007
Näak Ultra Energy Purees - Apple and Maple Syrup (Seasonal) / Single Serving,Näak,gel,1,26.0,,,4.0,4.0,https://thefeed.com/products/naak-ultra-energy-purees?variant=40157812228159
Maurten Gel 160 - Single Serving,Maurten,gel,1,40,20,0,5.5,5.5,https://thefeed.com/products/maurten-gel-160?variant=40160118603839
SiS Tryout Pack - 11 Pack,Science in Sport,gel,11,22,90,,36.05,3.277,https://thefeed.com/products/science-in-sport-ultimate-bundle?variant=40320264962111
Precision Fuel and Hydration Carb Only Drink Mix - 1 Bag,Precision Fuel and Hydration,drink_mix,1,120.0,,,59.99,59.99,https://thefeed.com/products/precision-fuel-and-hydration-carb-only-drink-mix?variant=40356174463039
UCAN Hydrate + Aminos - Orange / Single Serving,UCAN,drink_mix,20,0,300,0,1.9,0.095,https://thefeed.com/products/ucan-hydrate-aminos?variant=40456729690175
Maurten Solid 160 - Cacao / Single Serving,Maurten,bar,1,40,50,0,3.25,3.25,https://thefeed.com/products/maurten-solid-160?variant=40547954819135
Näak Ultra Energy Gel - Salted Maple / Single Serving,Näak,gel,1,25,,35.0,4.0,4.0,https://thefeed.com/products/naak-ultra-energy-gel?variant=40612224467007
Clif Bar Mini - White Chocolate Macadamia / Single Serving,Clif Bar,bar,1,17.0,,,0.95,0.95,https://thefeed.com/products/clif-bar-mini?variant=41107797934143
SiS HYDRO+ - Berry / Single Serving,Science in Sport,drink_mix,6,7,350,0,2.33,0.388,https://thefeed.com/products/sis-hydro?variant=41136143564863
SiS Beta Fuel Pack - 8 Pack,Science in Sport,gel,8,20.0,,200.0,31.08,3.885,https://thefeed.com/products/sis-beta-fuel-pack?variant=41137872699455
Clif Builder's Protein Bar (Low Sugar) - Crispy Peanut Butter Chocolate / Single Serving,Clif Bar,bar,12,20,200,0,2.49,0.208,https://thefeed.com/products/clif-builders-protein-bar-low-sugar?variant=41240534908991
Näak Boost Energy Gel - Neutral / Single Serving,Näak,gel,1,25.0,,,4.0,4.0,https://thefeed.com/products/naak-boost-energy-gel?variant=41560826544191
Näak Boost Energy Drink Mix - Neutral / Single Serve,Näak,drink_mix,1,60.0,263.0,,4.0,4.0,https://thefeed.com/products/naak-boost-energy-drink-mix?variant=41560830279743
Precision Fuel and Hydration PF 60 Chew - Original / Single Serving,Precision Fuel and Hydration,chew,2,60.0,,,4.33,2.165,https://thefeed.com/products/precision-fuel-and-hydration-pf-60-chew?variant=41565685383231
SiS GO Energy Oat Bar - Blueberry / Single Serving,Science in Sport,bar,1,40.0,,,3.33,3.33,https://thefeed.com/products/sis-go-energy-oat-bar?variant=41575258619967
